,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
8591,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-20000,Open market or private sale of non-derivative or derivative security,Open Market Sale,49.62,-20000,2004-02-02
8592,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-12-29
8593,AMZN.O,Stonesifer (Patricia Q),,-50000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-50000,2003-12-22
8594,AMZN.O,Dalzell (Richard L),Affiliated Person,-50000,Open market or private sale of non-derivative or derivative security,Open Market Sale,48.79,-50000,2003-12-22
8595,AMZN.O,Stonesifer (Patricia Q),Director,50000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.22,50000,2003-12-22
8596,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-12-22
8597,AMZN.O,Dalzell (Richard L),,-48750,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-48750,2003-12-15
8598,AMZN.O,Dalzell (Richard L),Officer,-48750,Open market or private sale of non-derivative or derivative security,Open Market Sale,51.62,-48750,2003-12-15
8599,AMZN.O,Dalzell (Richard L),Officer,48750,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",30.88,48750,2003-12-15
8600,AMZN.O,Dalzell (Richard L),Officer,48750,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,48750,2003-12-15
8601,AMZN.O,Alberg (Thomas Austin),Director,-7800,Open market or private sale of non-derivative or derivative security,Open Market Sale,51.29,-7800,2003-12-09
8602,AMZN.O,Alberg (Thomas Austin),Director,-7800,Open market or private sale of non-derivative or derivative security,Open Market Sale,51.29,-7800,2003-12-09
8603,AMZN.O,Doerr (L John),Director,-1223,Open market or private sale of non-derivative or derivative security,Open Market Sale,17.97,-1223,2003-12-04
8604,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-12-03
8605,AMZN.O,Dalzell (Richard L),Affiliated Person,,,,,,2003-12-02
8606,AMZN.O,Peek (Mark S),Officer,,,,,,2003-12-01
8607,AMZN.O,Peek (Mark S),Officer,,,,,,2003-12-01
8608,AMZN.O,Peek (Mark S),,-7500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-7500,2003-11-26
8609,AMZN.O,Peek (Mark S),Officer,-7500,Open market or private sale of non-derivative or derivative security,Open Market Sale,52.44,-7500,2003-11-26
8610,AMZN.O,Peek (Mark S),Officer,7500,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,7500,2003-11-26
8611,AMZN.O,Peek (Mark S),,-15000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-15000,2003-11-25
8612,AMZN.O,Peek (Mark S),Officer,-15000,Open market or private sale of non-derivative or derivative security,Open Market Sale,52.84,-15000,2003-11-25
8613,AMZN.O,Peek (Mark S),Officer,15000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,15000,2003-11-25
8614,AMZN.O,Stonesifer (Patricia Q),,-50000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-50000,2003-11-24
8615,AMZN.O,Dalzell (Richard L),,-50000,Open market or private sale of non-derivative or derivative security,Open Market Sale,49.17,-50000,2003-11-24
8616,AMZN.O,Wilson Lynn Michelle,Officer,50000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.22,50000,2003-11-24
8617,AMZN.O,Piacentini (Diego),Officer,-75000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-75000,2003-11-24
8618,AMZN.O,Wilke (Jeffrey A),Affiliated Person,-75000,Open market or private sale of non-derivative or derivative security,Open Market Sale,49.81,-75000,2003-11-24
8619,AMZN.O,Wilke (Jeffrey A),Affiliated Person,75000,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",8.55,75000,2003-11-24
8620,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-11-24
8621,AMZN.O,Stonesifer (Patricia Q),Director,,,,,,2003-11-24
8622,AMZN.O,Dalzell (Richard L),Officer,,,,,,2003-11-24
8623,AMZN.O,Dalzell (Richard L),Officer,,,,,,2003-11-24
8624,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-50000,Open market or private sale of non-derivative or derivative security,Open Market Sale,48.41,-50000,2003-11-21
8625,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,49.31,-100000,2003-11-20
8626,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,49.22,-100000,2003-11-19
8627,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,49.86,-100000,2003-11-18
8628,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100000,Open market or private sale of non-derivative or derivative security,Open Market Sale,50.73,-100000,2003-11-17
8629,AMZN.O,Wilson Lynn Michelle,,-56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-56252,2003-11-14
8630,AMZN.O,Piacentini (Diego),,-56252,Open market or private sale of non-derivative or derivative security,Open Market Sale,53.22,-56252,2003-11-14
8631,AMZN.O,Wilke (Jeffrey A),,56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,56252,2003-11-14
8632,AMZN.O,Wilson Lynn Michelle,Officer,-37502,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-37502,2003-11-14
8633,AMZN.O,Wilson Lynn Michelle,Officer,-37502,Open market or private sale of non-derivative or derivative security,Open Market Sale,53.22,-37502,2003-11-14
8634,AMZN.O,Piacentini (Diego),Officer,37502,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,37502,2003-11-14
8635,AMZN.O,Piacentini (Diego),Officer,-56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",,-56252,2003-11-14
8636,AMZN.O,Wilke (Jeffrey A),Officer,-56252,Open market or private sale of non-derivative or derivative security,Open Market Sale,53.22,-56252,2003-11-14
8637,AMZN.O,Wilke (Jeffrey A),Officer,56252,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",7.93,56252,2003-11-14
8638,AMZN.O,Alberg (Thomas Austin),Affiliated Person,,,,,,2003-11-12
