,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
0,AMZN.O,Selipsky (Adam),Officer,-35,Open market or private sale of non-derivative or derivative security,Open Market Sale,3270.0,-35,2022-01-06
1,AMZN.O,Selipsky (Adam),Officer,-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3337.66,-34,2022-01-05
2,AMZN.O,Selipsky (Adam),Officer,-35,Open market or private sale of non-derivative or derivative security,Open Market Sale,3357.01,-35,2021-12-21
3,AMZN.O,Selipsky (Adam),Officer,-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3337.0,-34,2021-12-20
4,AMZN.O,Selipsky (Adam),Officer,-10531,Bona fide gift,Gift,0.0,-10531,2021-12-03
5,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-35,Open market or private sale of non-derivative or derivative security,Open Market Sale,3455.0,-35,2021-12-03
6,AMZN.O,Selipsky (Adam),Officer,-55305,Bona fide gift,Gift,0.0,-55305,2021-12-02
7,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3460.0,-34,2021-12-02
8,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-34904,Bona fide gift,Gift,0.0,-34904,2021-12-01
9,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-37233,Bona fide gift,Gift,0.0,-37233,2021-11-30
10,AMZN.O,Mcgrath Judith A,Director,-28,Bona fide gift,Gift,0.0,-28,2021-11-29
11,AMZN.O,Jassy (Andrew R),Officer and Director,-492,Open market or private sale of non-derivative or derivative security,Open Market Sale,3676.0,-492,2021-11-22
12,AMZN.O,Clark (David H),Officer,-105,Open market or private sale of non-derivative or derivative security,Open Market Sale,3676.0,-105,2021-11-22
13,AMZN.O,Jassy (Andrew R),Officer and Director,1250,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1250,2021-11-21
14,AMZN.O,Clark (David H),Officer,190,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,190,2021-11-21
15,AMZN.O,Rubinstein (Jonathan J),Director,-23296,Bona fide gift,Gift,0.0,-23296,2021-11-18
16,AMZN.O,Huttenlocher (Daniel P),Director,-140,Bona fide gift,Gift,0.0,-140,2021-11-18
17,AMZN.O,Gorelick (Jamie S),Director,-271,Open market or private sale of non-derivative or derivative security,Open Market Sale,3700.0,-271,2021-11-18
18,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-86,Open market or private sale of non-derivative or derivative security,Open Market Sale,3563.61,-86,2021-11-18
19,AMZN.O,Clark (David H),Affiliated Person,,,,,,2021-11-17
20,AMZN.O,Zapolsky David,Affiliated Person,,,,,,2021-11-17
21,AMZN.O,Reynolds (Shelley L),Affiliated Person,-29,Bona fide gift,Gift,0.0,-29,2021-11-17
22,AMZN.O,Zapolsky David,Officer,-139,Open market or private sale of non-derivative or derivative security,Open Market Sale,3564.72,-139,2021-11-17
23,AMZN.O,Zapolsky David,Officer,,,,,,2021-11-17
24,AMZN.O,Selipsky (Adam),Officer,-34,Open market or private sale of non-derivative or derivative security,Open Market Sale,3539.0,-34,2021-11-16
25,AMZN.O,Selipsky (Adam),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
26,AMZN.O,Selipsky (Adam),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
27,AMZN.O,Selipsky (Adam),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
28,AMZN.O,Jassy (Andrew R),Officer and Director,-222,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-222,2021-11-15
29,AMZN.O,Jassy (Andrew R),Officer and Director,222,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,222,2021-11-15
30,AMZN.O,Jassy (Andrew R),Officer and Director,-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.06,-200,2021-11-15
31,AMZN.O,Jassy (Andrew R),Officer and Director,-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3536.19,-300,2021-11-15
32,AMZN.O,Jassy (Andrew R),Officer and Director,-224,Open market or private sale of non-derivative or derivative security,Open Market Sale,3535.04,-224,2021-11-15
33,AMZN.O,Clark (David H),Officer,-124,Open market or private sale of non-derivative or derivative security,Open Market Sale,3533.14,-124,2021-11-15
34,AMZN.O,Clark (David H),Officer,2153,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,2153,2021-11-15
35,AMZN.O,Zapolsky David,Officer,-954,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-954,2021-11-15
36,AMZN.O,Zapolsky David,Officer,1060,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1060,2021-11-15
37,AMZN.O,Olsavsky (Brian T.),Officer,172,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,172,2021-11-15
38,AMZN.O,Olsavsky (Brian T.),Officer,-910,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-910,2021-11-15
39,AMZN.O,Reynolds (Shelley L),Officer,1060,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1060,2021-11-15
40,AMZN.O,Reynolds (Shelley L),Officer,96,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,96,2021-11-15
41,AMZN.O,Ryder (Thomas O),Director,-201,Open market or private sale of non-derivative or derivative security,Open Market Sale,3536.17,-201,2021-11-15
42,AMZN.O,Stonesifer (Patricia Q),Director,-334,Open market or private sale of non-derivative or derivative security,Open Market Sale,3534.64,-334,2021-11-15
43,AMZN.O,Huttenlocher (Daniel P),Director,-177,Open market or private sale of non-derivative or derivative security,Open Market Sale,3533.3,-177,2021-11-15
44,AMZN.O,Rubinstein (Jonathan J),Director,-785,Open market or private sale of non-derivative or derivative security,Open Market Sale,3537.0,-785,2021-11-15
45,AMZN.O,Alexander (Keith Brian),Director,1426,Exercise or conversion of derivative security exempted pursuant to Rule 16b-3,"Exercise/Conversion of Awards, Options or Warrants",0.0,1426,2021-11-15
46,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2190,Bona fide gift,Gift,0.0,-2190,2021-11-10
47,AMZN.O,Gorelick (Jamie S),Director,-14093,Bona fide gift,Gift,0.0,-14093,2021-11-09
48,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-818,Bona fide gift,Gift,0.0,-818,2021-11-09
49,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3497.88,-200,2021-11-04
50,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1101,Open market or private sale of non-derivative or derivative security,Open Market Sale,3496.98,-1101,2021-11-04
51,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1616,Open market or private sale of non-derivative or derivative security,Open Market Sale,3495.97,-1616,2021-11-04
52,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2457,Open market or private sale of non-derivative or derivative security,Open Market Sale,3495.08,-2457,2021-11-04
53,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1618,Open market or private sale of non-derivative or derivative security,Open Market Sale,3493.8,-1618,2021-11-04
54,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3492.83,-1300,2021-11-04
55,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,3491.82,-700,2021-11-04
56,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1099,Open market or private sale of non-derivative or derivative security,Open Market Sale,3490.77,-1099,2021-11-04
57,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3489.81,-2300,2021-11-04
58,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-930,Open market or private sale of non-derivative or derivative security,Open Market Sale,3488.82,-930,2021-11-04
59,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3487.42,-400,2021-11-04
60,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1934,Open market or private sale of non-derivative or derivative security,Open Market Sale,3486.18,-1934,2021-11-04
61,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3485.04,-1400,2021-11-04
62,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2121,Open market or private sale of non-derivative or derivative security,Open Market Sale,3484.25,-2121,2021-11-04
63,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1467,Open market or private sale of non-derivative or derivative security,Open Market Sale,3483.01,-1467,2021-11-04
64,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1804,Open market or private sale of non-derivative or derivative security,Open Market Sale,3482.1,-1804,2021-11-04
65,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1071,Open market or private sale of non-derivative or derivative security,Open Market Sale,3480.95,-1071,2021-11-04
66,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1859,Open market or private sale of non-derivative or derivative security,Open Market Sale,3479.82,-1859,2021-11-04
67,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3478.45,-1200,2021-11-04
68,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1238,Open market or private sale of non-derivative or derivative security,Open Market Sale,3477.47,-1238,2021-11-04
69,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3476.21,-400,2021-11-04
70,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2000,Open market or private sale of non-derivative or derivative security,Open Market Sale,3475.21,-2000,2021-11-04
71,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1092,Open market or private sale of non-derivative or derivative security,Open Market Sale,3474.3,-1092,2021-11-04
72,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-900,Open market or private sale of non-derivative or derivative security,Open Market Sale,3473.3,-900,2021-11-04
73,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-393,Open market or private sale of non-derivative or derivative security,Open Market Sale,3471.76,-393,2021-11-04
74,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3469.63,-100,2021-11-04
75,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3433.01,-200,2021-11-04
76,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-245,Open market or private sale of non-derivative or derivative security,Open Market Sale,3431.93,-245,2021-11-04
77,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,3429.86,-800,2021-11-04
78,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3429.1,-300,2021-11-04
79,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3427.9,-500,2021-11-04
80,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3425.05,-200,2021-11-04
81,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3422.14,-100,2021-11-04
82,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3420.15,-100,2021-11-04
83,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3419.1,-100,2021-11-04
84,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3417.75,-200,2021-11-04
85,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3416.15,-100,2021-11-04
86,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3415.12,-300,2021-11-04
87,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-240,Open market or private sale of non-derivative or derivative security,Open Market Sale,3411.85,-240,2021-11-04
88,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,3410.78,-800,2021-11-04
89,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3407.67,-400,2021-11-04
90,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3404.39,-100,2021-11-04
91,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-451,Open market or private sale of non-derivative or derivative security,Open Market Sale,3401.82,-451,2021-11-04
92,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3400.15,-100,2021-11-04
93,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3397.96,-200,2021-11-04
94,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3396.08,-100,2021-11-04
95,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3395.51,-400,2021-11-04
96,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-376,Open market or private sale of non-derivative or derivative security,Open Market Sale,3394.45,-376,2021-11-04
97,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1268,Open market or private sale of non-derivative or derivative security,Open Market Sale,3392.94,-1268,2021-11-04
98,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3391.56,-1100,2021-11-04
99,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3389.55,-100,2021-11-04
100,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3387.0,-100,2021-11-04
101,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3384.05,-100,2021-11-04
102,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3380.96,-100,2021-11-04
103,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3379.94,-300,2021-11-04
104,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3378.37,-100,2021-11-04
105,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3468.29,-200,2021-11-04
106,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3467.28,-300,2021-11-04
107,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3466.37,-300,2021-11-04
108,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-887,Open market or private sale of non-derivative or derivative security,Open Market Sale,3465.44,-887,2021-11-04
109,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1900,Open market or private sale of non-derivative or derivative security,Open Market Sale,3464.35,-1900,2021-11-04
110,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2324,Open market or private sale of non-derivative or derivative security,Open Market Sale,3463.47,-2324,2021-11-04
111,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3462.32,-2100,2021-11-04
112,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3301,Open market or private sale of non-derivative or derivative security,Open Market Sale,3461.34,-3301,2021-11-04
113,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3460.35,-2500,2021-11-04
114,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2138,Open market or private sale of non-derivative or derivative security,Open Market Sale,3459.4,-2138,2021-11-04
115,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1773,Open market or private sale of non-derivative or derivative security,Open Market Sale,3458.42,-1773,2021-11-04
116,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3457.34,-1200,2021-11-04
117,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3456.23,-1100,2021-11-04
118,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3455.14,-1500,2021-11-04
119,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1610,Open market or private sale of non-derivative or derivative security,Open Market Sale,3453.87,-1610,2021-11-04
120,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1982,Open market or private sale of non-derivative or derivative security,Open Market Sale,3452.83,-1982,2021-11-04
121,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-316,Open market or private sale of non-derivative or derivative security,Open Market Sale,3451.68,-316,2021-11-04
122,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1212,Open market or private sale of non-derivative or derivative security,Open Market Sale,3450.24,-1212,2021-11-04
123,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-348,Open market or private sale of non-derivative or derivative security,Open Market Sale,3448.52,-348,2021-11-04
124,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1276,Open market or private sale of non-derivative or derivative security,Open Market Sale,3446.83,-1276,2021-11-04
125,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-504,Open market or private sale of non-derivative or derivative security,Open Market Sale,3445.53,-504,2021-11-04
126,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-208,Open market or private sale of non-derivative or derivative security,Open Market Sale,3444.17,-208,2021-11-04
127,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-624,Open market or private sale of non-derivative or derivative security,Open Market Sale,3443.31,-624,2021-11-04
128,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3442.13,-1300,2021-11-04
129,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3441.1,-1100,2021-11-04
130,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1413,Open market or private sale of non-derivative or derivative security,Open Market Sale,3439.95,-1413,2021-11-04
131,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1900,Open market or private sale of non-derivative or derivative security,Open Market Sale,3438.95,-1900,2021-11-04
132,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1229,Open market or private sale of non-derivative or derivative security,Open Market Sale,3437.88,-1229,2021-11-04
133,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3436.47,-500,2021-11-04
134,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3435.58,-300,2021-11-04
135,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-900,Open market or private sale of non-derivative or derivative security,Open Market Sale,3377.14,-900,2021-11-04
136,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3375.05,-100,2021-11-04
137,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3372.96,-100,2021-11-04
138,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3371.65,-200,2021-11-04
139,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3370.02,-5300,2021-11-04
140,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3368.6,-1200,2021-11-04
141,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",,,,,,2021-11-04
142,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-364,Open market or private sale of non-derivative or derivative security,Open Market Sale,3366.15,-364,2021-11-03
143,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2101,Open market or private sale of non-derivative or derivative security,Open Market Sale,3365.43,-2101,2021-11-03
144,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1265,Open market or private sale of non-derivative or derivative security,Open Market Sale,3364.18,-1265,2021-11-03
145,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1513,Open market or private sale of non-derivative or derivative security,Open Market Sale,3362.74,-1513,2021-11-03
146,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2617,Open market or private sale of non-derivative or derivative security,Open Market Sale,3362.01,-2617,2021-11-03
147,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1700,Open market or private sale of non-derivative or derivative security,Open Market Sale,3360.46,-1700,2021-11-03
148,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1874,Open market or private sale of non-derivative or derivative security,Open Market Sale,3359.22,-1874,2021-11-03
149,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4902,Open market or private sale of non-derivative or derivative security,Open Market Sale,3358.25,-4902,2021-11-03
150,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4193,Open market or private sale of non-derivative or derivative security,Open Market Sale,3357.12,-4193,2021-11-03
151,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1423,Open market or private sale of non-derivative or derivative security,Open Market Sale,3356.63,-1423,2021-11-03
152,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1163,Open market or private sale of non-derivative or derivative security,Open Market Sale,3355.22,-1163,2021-11-03
153,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3378,Open market or private sale of non-derivative or derivative security,Open Market Sale,3354.02,-3378,2021-11-03
154,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5527,Open market or private sale of non-derivative or derivative security,Open Market Sale,3353.24,-5527,2021-11-03
155,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3023,Open market or private sale of non-derivative or derivative security,Open Market Sale,3352.2,-3023,2021-11-03
156,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3101,Open market or private sale of non-derivative or derivative security,Open Market Sale,3351.1,-3101,2021-11-03
157,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4111,Open market or private sale of non-derivative or derivative security,Open Market Sale,3349.75,-4111,2021-11-03
158,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2007,Open market or private sale of non-derivative or derivative security,Open Market Sale,3348.75,-2007,2021-11-03
159,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3676,Open market or private sale of non-derivative or derivative security,Open Market Sale,3347.75,-3676,2021-11-03
160,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3346.54,-1500,2021-11-03
161,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3001,Open market or private sale of non-derivative or derivative security,Open Market Sale,3344.86,-3001,2021-11-03
162,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,3343.47,-700,2021-11-03
163,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,3342.05,-800,2021-11-03
164,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3340.87,-400,2021-11-03
165,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,3340.07,-800,2021-11-03
166,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3338.45,-500,2021-11-03
167,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1916,Open market or private sale of non-derivative or derivative security,Open Market Sale,3337.04,-1916,2021-11-03
168,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1848,Open market or private sale of non-derivative or derivative security,Open Market Sale,3336.37,-1848,2021-11-03
169,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2927,Open market or private sale of non-derivative or derivative security,Open Market Sale,3335.29,-2927,2021-11-03
170,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3334.24,-1100,2021-11-03
